"suite","experiment","replicate","time","resp"
"Face","1","1",1.84125,4.089006641
"Face","1","1",2.84125,3.937349067
"Face","1","1",3.84125,3.703206422
"Face","1","1",4.84125,3.877221784
"Face","1","1",5.84125,4.031489018
"Face","1","1",6.84125,4.506816486
"Face","1","1",7.84125,4.701592007
"Face","1","1",8.84125,5.276482954
"Face","1","1",9.84125,5.85335592
"Face","1","1",10.84125,6.568751073
"Face","1","1",11.84125,7.685769573
"Face","1","1",12.84125,8.972010549
"Face","1","1",13.84125,10.56154265
"Face","1","1",14.84125,12.59173789
"Face","1","1",15.84125,14.947549
"Face","1","1",16.84125,18.87871176
"Face","1","1",17.84125,23.29620821
"Face","1","1",18.84125,29.84096483
"Face","1","1",19.84125,35.66547635
"Face","1","1",20.84125,46.60096914
"Face","1","1",21.84125,56.4987813
"Face","1","1",22.84125,71.85945236
"Face","1","1",23.84125,83.34786871
"Face","1","1",24.84125,98.57824598
"Face","1","1",25.84125,115.3933565
"Face","1","1",26.84125,136.0742651
"Face","1","1",27.84125,145.058378
"Face","1","1",28.84125,135.3735519
"Face","1","1",29.84125,85.57750322
"Face","1","1",30.84125,48.0297534
"Face","1","1",31.84125,31.59096849
"Face","1","1",32.84125,25.39121851
"Face","1","1",33.84125,23.59461636
"Face","1","1",34.84125,23.06500256
"Face","1","1",35.84125,21.87689861
"Face","1","1",36.84125,20.90523125
"Face","1","1",37.84125,20.04713366
"Face","1","1",38.84125,18.82859068
"Face","1","2",1.832916667,4.15316103
"Face","1","2",2.832916667,4.196405105
"Face","1","2",3.832916667,3.719119641
"Face","1","2",4.832916667,3.895198106
"Face","1","2",5.832916667,4.032750303
"Face","1","2",6.832916667,4.344693245
"Face","1","2",7.832916667,4.495221668
"Face","1","2",8.832916667,4.927554315
"Face","1","2",9.832916667,5.436020559
"Face","1","2",10.83291667,6.136064065
"Face","1","2",11.83291667,7.087298593
"Face","1","2",12.83291667,7.895707548
"Face","1","2",13.83291667,9.50989778
"Face","1","2",14.83291667,10.80986274
"Face","1","2",15.83291667,13.42776599
"Face","1","2",16.83291667,16.39639972
"Face","1","2",17.83291667,20.02045146
"Face","1","2",18.83291667,24.99485953
"Face","1","2",19.83291667,30.25145321
"Face","1","2",20.83291667,38.19952213
"Face","1","2",21.83291667,48.46796004
"Face","1","2",22.83291667,60.46238012
"Face","1","2",23.83291667,72.12120815
"Face","1","2",24.83291667,85.87422065
"Face","1","2",25.83291667,100.5216498
"Face","1","2",26.83291667,121.5389883
"Face","1","2",27.83291667,141.478258
"Face","1","2",28.83291667,150.4208235
"Face","1","2",29.83291667,139.7186055
"Face","1","2",30.83291667,74.73138453
"Face","1","2",31.83291667,45.63842208
"Face","1","2",32.83291667,33.08400924
"Face","1","2",33.83291667,28.69573558
"Face","1","2",34.83291667,26.3373178
"Face","1","2",35.83291667,26.22386817
"Face","1","2",36.83291667,24.28425126
"Face","1","2",37.83291667,22.64998556
"Face","1","2",38.83291667,21.26752351
"Face","2","1",1.924583333,4.888406414
"Face","2","1",2.924583333,4.480428591
"Face","2","1",3.924583333,4.488671993
"Face","2","1",4.924583333,4.687009144
"Face","2","1",5.924583333,4.765106743
"Face","2","1",6.924583333,5.221806226
"Face","2","1",7.924583333,5.846617052
"Face","2","1",8.924583333,6.308010318
"Face","2","1",9.924583333,6.924775945
"Face","2","1",10.92458333,8.033659153
"Face","2","1",11.92458333,9.286713304
"Face","2","1",12.92458333,10.95054413
"Face","2","1",13.92458333,13.09019793
"Face","2","1",14.92458333,15.86034435
"Face","2","1",15.92458333,19.45303213
"Face","2","1",16.92458333,24.25468913
"Face","2","1",17.92458333,31.76074653
"Face","2","1",18.92458333,40.95641003
"Face","2","1",19.92458333,52.2306601
"Face","2","1",20.92458333,65.63416436
"Face","2","1",21.92458333,82.87486862
"Face","2","1",22.92458333,100.5408063
"Face","2","1",23.92458333,113.1999569
"Face","2","1",24.92458333,127.1022665
"Face","2","1",25.92458333,143.787843
"Face","2","1",26.92458333,133.1632391
"Face","2","1",27.92458333,69.3321905
"Face","2","1",28.92458333,30.22341964
"Face","2","1",29.92458333,23.57749591
"Face","2","1",30.92458333,22.18058914
"Face","2","1",31.92458333,21.03240487
"Face","2","1",32.92458333,19.71463777
"Face","2","1",33.92458333,18.67154561
"Face","2","1",34.92458333,17.21676386
"Face","2","1",35.92458333,16.31427201
"Face","2","1",36.92458333,15.69901091
"Face","2","1",37.92458333,14.76164452
"Face","2","1",38.92458333,18.24563651
"Face","2","2",1.932916667,5.47451079
"Face","2","2",2.932916667,4.669444241
"Face","2","2",3.932916667,4.821660385
"Face","2","2",4.932916667,5.116224614
"Face","2","2",5.932916667,5.073097657
"Face","2","2",6.932916667,5.397212005
"Face","2","2",7.932916667,6.294304349
"Face","2","2",8.932916667,6.389531407
"Face","2","2",9.932916667,7.245073402
"Face","2","2",10.93291667,8.211185092
"Face","2","2",11.93291667,9.724973993
"Face","2","2",12.93291667,11.22713504
"Face","2","2",13.93291667,13.09689476
"Face","2","2",14.93291667,16.15706778
"Face","2","2",15.93291667,20.39514336
"Face","2","2",16.93291667,25.3965069
"Face","2","2",17.93291667,32.29136635
"Face","2","2",18.93291667,42.24979529
"Face","2","2",19.93291667,53.41457778
